ClientID,Completed Connections,Data Received
"('127.0.0.1', 59620)",10,680
"('127.0.0.1', 32998)",100,6800
"('127.0.0.1', 60182)",100,6800
"('127.0.0.1', 60576)",100,6800
"('127.0.0.1', 59698)",10,680
"('127.0.0.1', 32918)",100,6800
"('127.0.0.1', 60626)",100,6800
"('127.0.0.1', 59690)",10,680
"('127.0.0.1', 60232)",100,6800
"('127.0.0.1', 59716)",10,680
"('127.0.0.1', 33016)",100,6800
"('127.0.0.1', 59592)",10,680
"('127.0.0.1', 59732)",10,680
"('127.0.0.1', 59708)",10,680
"('127.0.0.1', 33064)",100,6800
"('127.0.0.1', 60364)",100,6800
"('127.0.0.1', 59726)",10,680
"('127.0.0.1', 60816)",100,6800
"('127.0.0.1', 59742)",10,680
"('127.0.0.1', 60548)",100,6800
"('127.0.0.1', 59858)",100,6800
"('127.0.0.1', 60128)",100,6800
"('127.0.0.1', 60246)",100,6800
"('127.0.0.1', 32992)",100,6800
"('127.0.0.1', 33036)",100,6800
"('127.0.0.1', 60154)",100,6800
"('127.0.0.1', 32982)",100,6800
"('127.0.0.1', 33000)",100,6800
"('127.0.0.1', 59644)",10,680
"('127.0.0.1', 60142)",100,6800
"('127.0.0.1', 60138)",100,6800
"('127.0.0.1', 60472)",100,6800
"('127.0.0.1', 32942)",100,6800
"('127.0.0.1', 60156)",100,6800
"('127.0.0.1', 59772)",100,6800
"('127.0.0.1', 59606)",10,680
"('127.0.0.1', 60140)",100,6800
"('127.0.0.1', 60094)",100,6800
"('127.0.0.1', 33058)",100,6800
"('127.0.0.1', 59636)",10,680
"('127.0.0.1', 60524)",100,6800
"('127.0.0.1', 60528)",100,6800
"('127.0.0.1', 33082)",100,6800
"('127.0.0.1', 59824)",100,6800
"('127.0.0.1', 32976)",100,6800
"('127.0.0.1', 59664)",10,680
"('127.0.0.1', 60388)",100,6800
"('127.0.0.1', 59586)",10,680
"('127.0.0.1', 33032)",100,6800
"('127.0.0.1', 33014)",100,6800
